;word;count;category;subcategory
1882;schweizerisch;2;;
1884;fördern;2;;
1887;fls;2;;
1896;feiern;2;;
1899;landschaftsschutzes;2;;
1905;markant;2;;
1906;sl;2;;
1913;brusio;2;;
1914;stationsgebäude;2;;
1916;stellwerke;2;;
1919;allein;2;;
1920;vielmehr;2;;
1921;berninastrecke;2;;
1922;topographie;2;;
1923;gleichzeitig;2;;
1926;ensembles;2;;
1927;logische;2;;
1928;bahnreisenden;2;;
1930;tirano;2;;
1931;eins;2;;
1932;gesichtspunkten;2;;
1933;müstair;2;;
1934;berner;2;;
1939;stätten;2;;
1943;überblick;2;;
1949;kulturstätten;2;;
1950;universellem;2;;
1952;experten;2;;
1957;zusammenarbeit;2;;
1959;italienisch;2;;
1963;giovanni;2;;
1972;einfluss;2;;
1974;exkursion;2;;
1990;betreuen;2;;
1999;stunden;2;;
2001;rhone;2;;
2004;aare;2;;
2005;abraham;2;;
2006;abschätzung;2;;
2007;stickstoffverluste;2;;
2008;diffus;2;;
2010;rheineinzugsgebiet;2;;
2012;abschluss;2;;
2013;zürcher;2;;
2014;weinland;2;;
2016;umweltschutz;2;;
2017;abwasserfonds;2;;
2018;solothurn;2;;
2023;streckenführung;2;;
2031;wundern;2;;
2042;männer;2;;
2049;gr;2;;
2050;welterbeliste;2;;
2057;bedeutend;2;;
2061;ausmachen;2;;
2065;wirkung;2;;
2066;zurzeit;2;;
2077;zuständig;2;;
2078;eindrücklich;2;;
2085;versprechen;2;;
2086;gewinn;2;;
2090;agieren;2;;
2092;hoteliers;2;;
2100;f;2;;
2102;tagen;2;;
2103;treffen;2;;
2107;erneut;2;;
2109;gletscher;2;;
2124;formulieren;2;;
2127;rubi;2;;
2128;fred;2;;
2130;verkehrsvereins;2;;
2131;gygax;2;;
2132;kurt;2;;
2146;unternehmen;2;;
2168;alpenrhein;2;;
2184;riesig;2;;
2190;originell;2;;
2191;ingenieur;2;;
2192;grandios;2;;
2196;vorstellen;2;;
2206;anlegen;2;;
2208;lieb;2;;
2211;dennoch;2;;
2221;besichtigen;2;;
2231;teilnehmer;2;;
2237;reisen;2;;
